day_month,month,day_since_1st,weekday,cases,new_cases,new_cases_media,,,,,
21,3,0,sat,1,1,1.0,,,,,
22,3,1,sun,1,0,0.5,0.5,,,,
23,3,2,mon,1,0,0.3,0.6666666667,,,,
24,3,3,tue,1,0,0.3,0.75,,,,
25,3,4,wed,2,1,0.4,1.6,,,,
26,3,5,thu,2,0,0.3,0.8333333333,,,,
27,3,6,fri,2,0,0.3,0.8571428571,,,,
28,3,7,sat,2,0,0.1,0.5,,,,
29,3,8,sun,2,0,0.1,1,,,,
30,3,9,mon,2,0,0.1,1,,,,
31,3,10,tue,2,0,0.1,1,,,,
1,4,11,wed,2,0,0.0,0,,,,
2,4,12,thu,2,0,0.0,1,,,,
3,4,13,fri,3,1,0.1,1,,,,
4,4,14,sat,3,0,0.1,1,,,,
5,4,15,sun,3,0,0.1,1,,,,
6,4,16,mon,6,3,0.6,4,,,,
7,4,17,tue,7,1,0.7,1.25,,,,
8,4,18,wed,7,0,0.7,1,,,,
9,4,19,thu,9,2,1.0,1.4,,,,
10,4,20,fri,10,1,1.0,1,,,,
11,4,21,sat,12,2,1.3,1.285714286,,,,
12,4,22,sun,12,0,1.3,1,,,,
13,4,23,mon,12,0,0.9,0.6666666667,,,,
14,4,24,tue,14,2,1.0,1.166666667,,,,
15,4,25,wed,14,0,1.0,1,,,,
16,4,26,thu,14,0,0.7,0.7142857143,,,,
17,4,27,fri,14,0,0.6,0.8,,,,
18,4,28,sat,14,0,0.3,0.5,,,,
19,4,29,sun,14,0,0.3,1,,,,
20,4,30,mon,20,6,1.1,4,,,,
21,4,31,tue,25,5,1.6,1.375,,,,
22,4,32,wed,26,1,1.7,1.090909091,,,,
23,4,33,thu,28,2,2.0,1.166666667,,,,
24,4,34,fri,29,1,2.1,1.071428571,,,,
25,4,35,sat,29,0,2.1,1,,,,
26,4,36,sun,30,1,2.3,1.066666667,,,,
27,4,37,mon,31,1,1.6,0.6875,,,,
28,4,38,tue,31,0,0.9,0.5454545455,,,,
29,4,39,wed,35,4,1.3,1.5,,,,
30,4,40,thu,36,1,1.1,0.8888888889,,,,
1,5,41,fri,36,0,1.0,0.875,,,,
2,5,42,sat,39,3,1.4,1.428571429,,,,
3,5,43,sun,39,0,1.3,0.9,,,,
4,5,44,mon,41,2,1.4,1.111111111,,,,
5,5,45,tue,41,0,1.4,1,,,,
6,5,46,wed,42,1,1.0,0.7,,,,
7,5,47,thu,45,3,1.3,1.285714286,,,,
8,5,48,fri,46,1,1.4,1.111111111,,,,
9,5,49,sat,48,2,1.3,0.9,,,,
10,5,50,sun,49,1,1.4,1.111111111,,,,
11,5,51,mon,51,2,1.4,1,,,,
12,5,52,tue,53,2,1.7,1.2,,,,
13,5,53,wed,58,5,2.3,1.333333333,,,,
14,5,54,thu,61,3,2.3,1,,,,
15,5,55,fri,65,4,2.7,1.1875,,,,
16,5,56,sat,66,1,2.6,0.9473684211,,,,
17,5,57,sun,66,0,2.4,0.9444444444,,,,
18,5,58,mon,69,3,2.6,1.058823529,,,,
19,5,59,tue,75,6,3.1,1.222222222,,,,
20,5,60,wed,78,3,2.9,0.9090909091,,,,
21,5,61,thu,81,3,2.9,1,,,,
22,5,62,fri,87,6,3.1,1.1,,,,
23,5,63,sat,93,6,3.9,1.227272727,,,,
24,5,64,sun,93,0,3.9,1,,,,
25,5,65,mon,94,1,3.6,0.9259259259,,,,
26,5,66,tue,108,14,4.7,1.32,,,,
27,5,67,wed,118,10,5.7,1.212121212,,,,
28,5,68,thu,128,10,6.7,1.175,,,,
29,5,69,fri,133,5,6.6,0.9787234043,,,,
30,5,70,sat,134,1,5.9,0.8913043478,,,,
31,5,71,sun,137,3,6.3,1.073170732,,,,
1,6,72,mon,146,9,7.4,1.181818182,,,,
2,6,73,tue,156,10,6.9,0.9230769231,,,,
3,6,74,wed,166,10,6.9,1,,,,
4,6,75,thu,177,11,7.0,1.020833333,,,,
5,6,76,fri,198,21,9.3,1.326530612,,,,
6,6,77,sat,202,4,9.7,1.046153846,,,,
7,6,78,sun,205,3,9.7,1,,,,
8,6,79,mon,221,16,10.7,1.102941176,,,,
9,6,80,tue,233,12,11.0,1.026666667,,,1.761086432,
10,6,81,wed,240,7,10.6,0.961038961,,,,
11,6,82,thu,246,6,9.9,0.9324324324,,,,
12,6,83,fri,262,16,9.1,0.9275362319,,,15,13.66666667
13,6,84,sat,270,8,9.7,1.0625,,,12,
14,6,85,sun,272,2,9.6,0.9852941176,,,14,
15,6,86,mon,280,8,8.4,0.8805970149,,,,
16,6,87,tue,291,11,8.3,0.9830508475,,,,
17,6,88,wed,317,26,11.0,1.327586207,,,,
18,6,89,thu,328,11,11.7,1.064935065,,,,
19,6,90,fri,390,62,18.3,1.56097561,,,,
20,6,91,sat,397,7,18.1,0.9921875,,,,
21,6,92,sun,402,5,18.6,1.023622047,,,,
22,6,93,mon,428,26,21.1,1.138461538,,,,
23,6,94,tue,464,36,24.7,1.168918919,,,,
24,6,95,wed,487,23,24.3,0.9826589595,,,,
25,6,96,thu,500,13,24.6,1.011764706,,,,
26,6,97,fri,,-500,-55.7,-2.26744186,,,,
27,6,98,sat,,0,-56.7,1.017948718,,,,
28,6,99,sun,,0,-57.4,1.012594458,,,,
29,6,100,mon,,0,-61.1,1.064676617,,,,
30,6,101,tue,,0,-66.3,1.08411215,,,,
,,102,wed,,0,-69.6,1.049568966,,,,
,,103,thu,,0,-71.4,1.026694045,,,,
,,104,fri,,0,0.0,0,,,,
,,105,sat,,0,0.0,1,,,,
,,106,sun,,0,0.0,1,,,,
,,107,mon,,0,0.0,1,,,,
,,108,tue,,0,0.0,1,,,,
,,109,wed,,0,0.0,1,,,,
,,110,thu,,0,0.0,1,,,,
,,111,fri,,0,0.0,1,,,,
,,112,sat,,0,0.0,1,,,,
,,113,sun,,0,0.0,1,,,,
,,114,mon,,0,0.0,1,,,,
,,115,tue,,0,0.0,1,,,,
,,116,wed,,0,0.0,1,,,,
,,117,thu,,0,0.0,1,,,,
,,118,fri,,0,0.0,1,,,,
,,119,sat,,0,0.0,1,,,,
,,120,sun,,0,0.0,1,,,,
,,121,mon,,0,0.0,1,,,,
,,122,tue,,0,0.0,1,,,,
,,123,wed,,0,0.0,1,,,,
,,124,thu,,0,0.0,1,,,,
,,125,fri,,0,0.0,1,,,,
,,126,sat,,0,0.0,1,,,,
,,127,sun,,0,0.0,1,,,,
,,128,mon,,0,0.0,1,,,,
,,129,tue,,0,0.0,1,,,,
,,130,wed,,0,0.0,1,,,,
,,131,thu,,0,0.0,1,,,,
,,132,fri,,0,0.0,1,,,,
,,133,sat,,0,0.0,1,,,,
,,134,sun,,0,0.0,1,,,,
,,135,mon,,0,0.0,1,,,,
,,136,tue,,0,0.0,1,,,,
,,137,wed,,0,0.0,1,,,,
,,138,thu,,0,0.0,1,,,,
,,139,fri,,0,0.0,1,,,,
,,140,sat,,0,0.0,1,,,,
,,141,sun,,0,0.0,1,,,,
,,142,mon,,0,0.0,1,,,,
,,143,tue,,0,0.0,1,,,,
,,144,wed,,0,0.0,1,,,,
,,145,thu,,0,0.0,1,,,,
,,146,fri,,0,0.0,1,,,,
,,147,sat,,0,0.0,1,,,,
,,148,sun,,0,0.0,1,,,,
,,149,mon,,0,0.0,1,,,,
,,150,tue,,0,0.0,1,,,,